run_date,run_time,run_datetime,job_id,job_name,category,status,duration_seconds,retries,message
2026-07-13,00:38:00,2026-07-13 00:38:00.975489,7,CacheRefresh,Optimization,Succeeded,419,0,Job completed successfully
2026-07-13,01:03:00,2026-07-13 01:03:00.975489,6,ExportDailyMetrics,ETL,Succeeded,448,0,Job completed successfully
2026-07-13,01:41:00,2026-07-13 01:41:00.975489,3,SyncReports,ETL,Succeeded,421,0,Job completed successfully
2026-07-13,02:11:00,2026-07-13 02:11:00.975489,8,IndexMaintenance,Maintenance,Failed,87,2,Error: timeout or data validation failure
2026-07-13,02:20:00,2026-07-13 02:20:00.975489,4,ArchiveOldRecords,Maintenance,Succeeded,575,0,Job completed successfully
2026-07-13,02:32:00,2026-07-13 02:32:00.975489,1,BackupDB_Production,Maintenance,Succeeded,386,0,Job completed successfully
2026-07-13,02:51:00,2026-07-13 02:51:00.975489,2,UpdateStatistics,Maintenance,Succeeded,455,0,Job completed successfully
2026-07-13,03:21:00,2026-07-13 03:21:00.975489,5,ValidateDataIntegrity,Health,Succeeded,272,0,Job completed successfully
2026-07-13,06:03:00,2026-07-13 06:03:00.975489,2,UpdateStatistics,Maintenance,Succeeded,167,0,Job completed successfully
2026-07-13,06:19:00,2026-07-13 06:19:00.975489,1,BackupDB_Production,Maintenance,Succeeded,257,0,Job completed successfully
2026-07-13,06:42:00,2026-07-13 06:42:00.975489,8,IndexMaintenance,Maintenance,Failed,73,1,Error: timeout or data validation failure
2026-07-13,06:57:00,2026-07-13 06:57:00.975489,4,ArchiveOldRecords,Maintenance,Succeeded,51,0,Job completed successfully
2026-07-13,07:31:00,2026-07-13 07:31:00.975489,6,ExportDailyMetrics,ETL,Succeeded,225,0,Job completed successfully
2026-07-13,07:58:00,2026-07-13 07:58:00.975489,3,SyncReports,ETL,Succeeded,233,0,Job completed successfully
2026-07-13,12:54:00,2026-07-13 12:54:00.975489,7,CacheRefresh,Optimization,Succeeded,243,0,Job completed successfully
2026-07-13,13:01:00,2026-07-13 13:01:00.975489,6,ExportDailyMetrics,ETL,Succeeded,296,0,Job completed successfully
2026-07-13,13:22:00,2026-07-13 13:22:00.975489,3,SyncReports,ETL,Succeeded,526,0,Job completed successfully
2026-07-13,14:10:00,2026-07-13 14:10:00.975489,2,UpdateStatistics,Maintenance,Succeeded,421,0,Job completed successfully
2026-07-13,14:30:00,2026-07-13 14:30:00.975489,4,ArchiveOldRecords,Maintenance,Succeeded,381,0,Job completed successfully
2026-07-13,14:35:00,2026-07-13 14:35:00.975489,8,IndexMaintenance,Maintenance,Succeeded,404,0,Job completed successfully
2026-07-13,14:37:00,2026-07-13 14:37:00.975489,1,BackupDB_Production,Maintenance,Succeeded,362,0,Job completed successfully
2026-07-13,15:37:00,2026-07-13 15:37:00.975489,5,ValidateDataIntegrity,Health,Succeeded,248,0,Job completed successfully
2026-07-13,19:22:00,2026-07-13 19:22:00.975489,3,SyncReports,ETL,Succeeded,248,0,Job completed successfully
2026-07-13,19:38:00,2026-07-13 19:38:00.975489,6,ExportDailyMetrics,ETL,Succeeded,352,0,Job completed successfully
2026-07-13,22:03:00,2026-07-13 22:03:00.975489,1,BackupDB_Production,Maintenance,Succeeded,258,0,Job completed successfully
2026-07-13,22:23:00,2026-07-13 22:23:00.975489,2,UpdateStatistics,Maintenance,Failed,120,2,Error: timeout or data validation failure
2026-07-13,22:48:00,2026-07-13 22:48:00.975489,8,IndexMaintenance,Maintenance,Succeeded,479,0,Job completed successfully
2026-07-13,22:54:00,2026-07-13 22:54:00.975489,4,ArchiveOldRecords,Maintenance,Succeeded,129,0,Job completed successfully
2026-07-14,00:03:00,2026-07-14 00:03:00.975489,7,CacheRefresh,Optimization,Succeeded,235,0,Job completed successfully
2026-07-14,01:39:00,2026-07-14 01:39:00.975489,3,SyncReports,ETL,Succeeded,441,0,Job completed successfully
2026-07-14,01:48:00,2026-07-14 01:48:00.975489,6,ExportDailyMetrics,ETL,Succeeded,88,0,Job completed successfully
2026-07-14,02:23:00,2026-07-14 02:23:00.975489,1,BackupDB_Production,Maintenance,Succeeded,40,0,Job completed successfully
2026-07-14,02:40:00,2026-07-14 02:40:00.975489,8,IndexMaintenance,Maintenance,Succeeded,364,0,Job completed successfully
2026-07-14,02:45:00,2026-07-14 02:45:00.975489,4,ArchiveOldRecords,Maintenance,Succeeded,549,0,Job completed successfully
2026-07-14,02:46:00,2026-07-14 02:46:00.975489,2,UpdateStatistics,Maintenance,Succeeded,97,0,Job completed successfully
2026-07-14,03:20:00,2026-07-14 03:20:00.975489,5,ValidateDataIntegrity,Health,Succeeded,92,0,Job completed successfully
2026-07-14,06:28:00,2026-07-14 06:28:00.975489,8,IndexMaintenance,Maintenance,Succeeded,351,0,Job completed successfully
2026-07-14,06:46:00,2026-07-14 06:46:00.975489,1,BackupDB_Production,Maintenance,Succeeded,185,0,Job completed successfully
2026-07-14,06:49:00,2026-07-14 06:49:00.975489,2,UpdateStatistics,Maintenance,Succeeded,353,0,Job completed successfully
2026-07-14,06:53:00,2026-07-14 06:53:00.975489,4,ArchiveOldRecords,Maintenance,Succeeded,235,0,Job completed successfully
2026-07-14,07:31:00,2026-07-14 07:31:00.975489,3,SyncReports,ETL,Succeeded,66,0,Job completed successfully
2026-07-14,07:47:00,2026-07-14 07:47:00.975489,6,ExportDailyMetrics,ETL,Succeeded,520,0,Job completed successfully
2026-07-14,12:50:00,2026-07-14 12:50:00.975489,7,CacheRefresh,Optimization,Failed,62,1,Error: timeout or data validation failure
2026-07-14,13:21:00,2026-07-14 13:21:00.975489,6,ExportDailyMetrics,ETL,Succeeded,340,0,Job completed successfully
2026-07-14,13:43:00,2026-07-14 13:43:00.975489,3,SyncReports,ETL,Succeeded,397,0,Job completed successfully
2026-07-14,14:03:00,2026-07-14 14:03:00.975489,1,BackupDB_Production,Maintenance,Failed,93,0,Error: timeout or data validation failure
2026-07-14,14:26:00,2026-07-14 14:26:00.975489,2,UpdateStatistics,Maintenance,Succeeded,404,0,Job completed successfully
2026-07-14,14:34:00,2026-07-14 14:34:00.975489,4,ArchiveOldRecords,Maintenance,Succeeded,555,0,Job completed successfully
