run_date,runs,failures,avg_duration
2026-07-13,28,3,304.9
2026-07-14,28,3,260.3
2026-07-15,28,7,223.8
2026-07-16,28,3,248.3
2026-07-17,28,2,289.1
2026-07-18,28,1,288.1
2026-07-19,28,1,313.0
2026-07-20,28,3,376.5
2026-07-21,28,3,332.0
2026-07-22,28,1,349.8
2026-07-23,28,3,310.1
2026-07-24,28,2,359.5
2026-07-25,28,3,305.9
2026-07-26,28,3,231.8
2026-07-27,28,4,247.1
2026-07-28,28,3,293.5
2026-07-29,28,1,266.8
2026-07-30,28,6,260.6
2026-07-31,28,2,304.0
2026-08-01,28,4,281.9
2026-08-02,28,3,268.9
2026-08-03,28,0,302.4
2026-08-04,28,3,272.8
2026-08-05,28,1,291.2
2026-08-06,28,4,240.6
2026-08-07,28,3,287.4
2026-08-08,28,4,304.4
2026-08-09,28,2,260.8
2026-08-10,28,2,327.1
2026-08-11,28,3,296.4
2026-08-12,28,0,241.8
