auction_id,vehicle_type,condition,market_value,bid_amount,ga_sales_tax,auction_fees,transport_cost,recon_cost,total_cost,profit,roi_percent
49,Toyota Camry,Excellent,16000.0,6655.72,432.62,399.34,487.26,217.28,8192.22,7807.78,95.31
11,Hyundai Elantra,Excellent,12000.0,4854.36,315.53,291.26,427.39,298.75,6187.28,5812.72,93.95
46,Hyundai Elantra,Excellent,12000.0,5219.77,339.28,313.19,345.9,492.5,6710.64,5289.36,78.82
12,BMW 3 Series,Fair,15400.0,6413.48,416.88,384.81,289.98,1124.26,8629.39,6770.61,78.46
29,Toyota Camry,Fair,11200.0,4571.73,297.16,274.3,400.75,781.28,6325.22,4874.78,77.07
7,Toyota Camry,Excellent,16000.0,7361.53,478.5,441.69,400.78,415.12,9097.63,6902.37,75.87
20,Nissan Altima,Fair,9800.0,4560.37,296.42,273.62,439.32,332.61,5902.34,3897.66,66.04
24,Toyota Camry,Excellent,16000.0,8210.37,533.67,492.62,315.84,118.18,9670.68,6329.32,65.45
41,Chevy Silverado,Poor,14000.0,6737.97,437.97,404.28,476.68,415.95,8472.84,5527.16,65.23
30,Tesla Model Y,Excellent,45000.0,23797.16,1546.82,1427.83,484.68,475.87,27732.35,17267.65,62.27
45,Toyota Camry,Excellent,16000.0,8213.99,533.91,492.84,413.66,370.76,10025.16,5974.84,59.6
37,Tesla Model Y,Poor,22500.0,11225.31,729.65,673.52,234.13,1282.46,14145.07,8354.93,59.07
42,Ford F-150,Good,27200.0,14853.78,965.5,891.23,261.98,217.99,17190.46,10009.54,58.23
34,Honda Accord,Poor,9000.0,4593.84,298.6,275.63,446.32,368.88,5983.27,3016.73,50.42
4,Chevy Silverado,Poor,14000.0,6860.63,445.94,411.64,373.55,1245.2,9336.97,4663.03,49.94
9,Toyota Camry,Fair,11200.0,5288.48,343.75,317.31,453.56,1117.99,7521.09,3678.91,48.91
50,Chevy Silverado,Poor,14000.0,7635.8,496.33,458.15,287.51,537.81,9415.59,4584.41,48.69
22,Tesla Model Y,Fair,31500.0,18293.73,1189.09,1097.62,492.51,1258.16,22331.12,9168.88,41.06
47,BMW 3 Series,Poor,11000.0,5891.21,382.93,353.47,485.38,717.94,7830.93,3169.07,40.47
31,Toyota Camry,Excellent,16000.0,9797.66,636.85,587.86,254.51,424.12,11701.0,4299.0,36.74
13,Ford F-150,Excellent,32000.0,20535.52,1334.81,1232.13,202.33,251.36,23556.15,8443.85,35.85
39,Tesla Model Y,Excellent,45000.0,29535.66,1919.82,1772.14,313.14,459.61,34000.37,10999.63,32.35
48,Ford F-150,Good,27200.0,17808.38,1157.54,1068.5,438.95,292.55,20765.92,6434.08,30.98
43,Tesla Model Y,Poor,22500.0,14522.95,943.99,871.38,409.75,806.84,17554.9,4945.1,28.17
6,Nissan Altima,Good,11900.0,7636.9,496.4,458.21,353.65,403.7,9348.86,2551.14,27.29
27,BMW 3 Series,Poor,11000.0,6729.33,437.41,403.76,241.85,852.78,8665.12,2334.88,26.95
25,Hyundai Elantra,Good,10200.0,6751.07,438.82,405.06,311.66,172.22,8078.84,2121.16,26.26
17,Nissan Altima,Good,11900.0,7790.9,506.41,467.45,456.98,240.06,9461.79,2438.21,25.77
19,Nissan Altima,Fair,9800.0,5862.96,381.09,351.78,251.46,1050.86,7898.15,1901.85,24.08
8,Tesla Model Y,Excellent,45000.0,32286.22,2098.6,1937.17,406.23,226.74,36954.96,8045.04,21.77
1,Tesla Model Y,Poor,22500.0,14931.93,970.58,895.92,361.86,1331.26,18491.55,4008.45,21.68
38,Ford F-150,Fair,22400.0,15681.02,1019.27,940.86,346.22,654.73,18642.09,3757.91,20.16
23,Honda Accord,Fair,12600.0,8397.77,545.86,503.87,396.83,648.91,10493.23,2106.77,20.08
14,Toyota Camry,Poor,8000.0,4852.3,315.4,291.14,406.34,949.16,6814.33,1185.67,17.4
3,BMW 3 Series,Fair,15400.0,11073.69,719.79,664.42,379.99,426.14,13264.03,2135.97,16.1
40,Toyota Camry,Poor,8000.0,5357.72,348.25,321.46,388.48,527.74,6943.65,1056.35,15.21
36,Toyota Camry,Good,13600.0,10476.52,680.97,628.59,361.98,473.6,12621.67,978.33,7.75
10,Toyota Camry,Good,13600.0,10641.29,691.68,638.48,396.2,373.51,12741.16,858.84,6.74
16,Tesla Model Y,Poor,22500.0,17989.53,1169.32,1079.37,274.65,598.37,21111.24,1388.76,6.58
15,Honda Accord,Fair,12600.0,9496.1,617.25,569.77,383.64,758.51,11825.27,774.73,6.55
